GEO ID,GEO ID Description,GEO Category,County Name,Indicator Order on State Dashboard,Indicator Order on County Dashboard,Indicator ID,Indicator,Event Count,Average Number of Denominator,Percentage/Rate,Data Comments,Measure Unit,Data Years,Data Source
28750,German Flatts town,MCD/CD,Herkimer,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),132,144,23,,Percentage,2019-2022,"Vital Records, data as of November 2024"
28772,Germantown town,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),16,22,18,,Percentage,2019-2022,"Vital Records, data as of November 2024"
28838,Gerry town,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,55,8.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
28871,Ghent town,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),49,79,15.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
28981,Gilboa town,MCD/CD,Schoharie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),13,13,25,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29047,Glen town,MCD/CD,Montgomery,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),19,18,26.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29113,Glen Cove city,MCD/CD,Nassau,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),212,314,16.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29333,Glens Falls city,MCD/CD,Warren,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),199,171,29.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29366,Glenville town,MCD/CD,Schenectady,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),216,358,15.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29443,Gloversville city,MCD/CD,Fulton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),288,223,32.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29531,Gorham town,MCD/CD,Ontario,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),32,39,20.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29553,Goshen town,MCD/CD,Orange,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),97,179,13.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29608,Gouverneur town,MCD/CD,St. Lawrence,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),62,54,28.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29674,Grafton town,MCD/CD,Rensselaer,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,21,28,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29729,Granby town,MCD/CD,Oswego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),103,72,35.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29828,Grand Island town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),152,200,19,,Percentage,2019-2022,"Vital Records, data as of November 2024"
29905,Granger town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),9,5,42.9,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
30037,Granville town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),80,110,18.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30257,Great Valley town,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),25,26,24,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30290,Greece town,MCD/CD,Monroe,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),776,1122,17.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30367,Greenburgh town,MCD/CD,Westchester,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),418,788,13.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30422,Greene town,MCD/CD,Chenango,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),63,65,24.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30444,Greenfield town,MCD/CD,Saratoga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),87,80,27.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30532,Green Island town,MCD/CD,Albany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),33,29,28.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30565,Greenport town,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),54,62,21.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30620,Greenville town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),28,34,20.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30631,Greenville town,MCD/CD,Orange,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,28,20.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30686,Greenwich town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),45,57,19.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30741,Greenwood town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),13,11,30.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30796,Greig town,MCD/CD,Lewis,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),10,16,16.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30972,Groton town,MCD/CD,Tompkins,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),57,72,19.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
30994,Grove town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4,5,21.1,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
31016,Groveland town,MCD/CD,Livingston,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),11,15,18.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31104,Guilderland town,MCD/CD,Albany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),182,301,15.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31148,Guilford town,MCD/CD,Chenango,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),36,31,29.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31269,Hadley town,MCD/CD,Saratoga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),22,23,23.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31335,Hague town,MCD/CD,Warren,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),7,10,17.1,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
31379,Halcott town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),0,2,0,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
31489,Halfmoon town,MCD/CD,Saratoga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),174,206,21.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31654,Hamburg town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),481,666,18,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31698,Hamden town,MCD/CD,Delaware,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),8,14,14.3,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
31720,Hamilton town,MCD/CD,Madison,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,38,11.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31797,Hamlin town,MCD/CD,Monroe,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),79,69,28.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31841,Hammond town,MCD/CD,St. Lawrence,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,14,27.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31885,Hampton town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),8,10,20.5,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
31907,Hamptonburgh town,MCD/CD,Orange,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),41,50,20.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
31951,Hancock town,MCD/CD,Delaware,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),42,42,25.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32028,Hannibal town,MCD/CD,Oswego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),54,41,33.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32050,Hanover town,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),89,81,27.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32116,Hardenburgh town,MCD/CD,Ulster,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),6,4,42.9,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
32160,Harford town,MCD/CD,Cortland,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),11,9,29.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32248,Harmony town,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,22,25.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32281,Harpersfield town,MCD/CD,Delaware,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),20,37,13.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32314,Harrietstown town,MCD/CD,Franklin,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),68,49,34.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32358,Harrisburg town,MCD/CD,Lewis,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3,3,23.1,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
32413,Harrison town,MCD/CD,Westchester,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),96,166,14.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32457,Hartford town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,22,20.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32490,Hartland town,MCD/CD,Niagara,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),36,40,22.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32567,Hartsville town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),6,8,19.4,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
32589,Hartwick town,MCD/CD,Otsego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,17,21.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32688,Hastings town,MCD/CD,Oswego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),123,98,31.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
32765,Haverstraw town,MCD/CD,Rockland,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),329,319,25.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
33040,Hebron town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),16,17,23.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
33073,Hector town,MCD/CD,Schuyler,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),52,48,26.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
34000,Hempstead town,MCD/CD,Nassau,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),5382,6826,19.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
34055,Henderson town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),7,15,11.9,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
34099,Henrietta town,MCD/CD,Monroe,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),267,331,20.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
34132,Herkimer town,MCD/CD,Herkimer,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),132,173,19,,Percentage,2019-2022,"Vital Records, data as of November 2024"
34176,Hermon town,MCD/CD,St. Lawrence,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,12,30.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
34473,Highland town,MCD/CD,Sullivan,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),21,23,22.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
34550,Highlands town,MCD/CD,Orange,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),71,57,31.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
34748,Hillsdale town,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),8,19,10.7,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
34946,Hinsdale town,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),31,30,26.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35122,Holland town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),32,33,24.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35287,Homer town,MCD/CD,Cortland,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),33,56,14.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35463,Hoosick town,MCD/CD,Rensselaer,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),65,85,19.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35496,Hope town,MCD/CD,Hamilton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4,7,15.4,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
35551,Hopewell town,MCD/CD,Ontario,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),37,42,22,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35595,Hopkinton town,MCD/CD,St. Lawrence,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),5,12,10.6,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
35639,Horicon town,MCD/CD,Warren,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),9,19,11.8,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
35661,Hornby town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),14,17,20.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35672,Hornell city,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),119,116,25.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35683,Hornellsville town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),40,66,15.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35705,Horseheads town,MCD/CD,Chemung,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),197,315,15.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35782,Hounsfield town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,27,21.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
35837,Howard town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4,10,10,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
35969,Hudson city,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),81,77,26.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
36112,Hume town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,17,25.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
36123,Humphrey town,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),6,6,25,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
36178,Hunter town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,32,18.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
37000,Huntington town,MCD/CD,Suffolk,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),1193,1892,15.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
37143,Hurley town,MCD/CD,Ulster,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),35,71,12.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
37165,Huron town,MCD/CD,Wayne,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,21,28,,Percentage,2019-2022,"Vital Records, data as of November 2024"
37209,Hyde Park town,MCD/CD,Dutchess,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),223,245,22.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
37297,Independence town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),5,11,11.9,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
37374,Indian Lake town,MCD/CD,Hamilton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),13,20,16.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
37495,Inlet town,MCD/CD,Hamilton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),5,5,23.8,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
37660,Ira town,MCD/CD,Cayuga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),12,18,17.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
37726,Irondequoit town,MCD/CD,Monroe,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),386,566,17,,Percentage,2019-2022,"Vital Records, data as of November 2024"
37825,Ischua town,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),16,14,28.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38000,Islip town,MCD/CD,Suffolk,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2951,2909,25.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38044,Italy town,MCD/CD,Yates,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,12,38.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38077,Ithaca city,MCD/CD,Tompkins,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),151,160,23.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38088,Ithaca town,MCD/CD,Tompkins,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),79,150,13.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38143,Jackson town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,19,22.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38264,Jamestown city,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),485,408,29.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38319,Jasper town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),8,12,17.4,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
38341,Java town,MCD/CD,Wyoming,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,17,22.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38396,Jay town,MCD/CD,Essex,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),22,25,22,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38440,Jefferson town,MCD/CD,Schoharie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),8,17,11.8,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
38583,Jerusalem town,MCD/CD,Yates,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),25,37,17,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38638,Jewett town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,16,29,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38715,Johnsburg town,MCD/CD,Warren,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),12,30,10,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38781,Johnstown city,MCD/CD,Fulton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),102,128,20,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38792,Johnstown town,MCD/CD,Fulton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),79,96,20.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
38858,Junius town,MCD/CD,Seneca,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),16,14,29.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
39067,Keene town,MCD/CD,Essex,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3,11,6.7,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
39188,Kendall town,MCD/CD,Orleans,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),27,27,25.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
39331,Kent town,MCD/CD,Putnam,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),122,125,24.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
39507,Kiantone town,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),11,14,20,,Percentage,2019-2022,"Vital Records, data as of November 2024"
39573,Kinderhook town,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),93,113,20.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
39650,Kingsbury town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),184,139,33.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
39727,Kingston city,MCD/CD,Ulster,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),280,288,24.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
39738,Kingston town,MCD/CD,Ulster,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),8,11,17.8,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
39804,Kirkland town,MCD/CD,Oneida,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),55,143,9.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
39837,Kirkwood town,MCD/CD,Broome,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),55,69,19.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
40002,Knox town,MCD/CD,Albany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),13,15,22.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
40068,Kortright town,MCD/CD,Delaware,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),10,19,13,,Percentage,2019-2022,"Vital Records, data as of November 2024"
40189,Lackawanna city,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),303,256,29.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
40266,LaFayette town,MCD/CD,Onondaga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),41,55,18.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
40299,La Grange town,MCD/CD,Dutchess,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),124,138,22.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
40519,Lake George town,MCD/CD,Warren,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),29,39,18.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
40662,Lake Luzerne town,MCD/CD,Warren,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),44,40,27.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
40794,Lake Pleasant town,MCD/CD,Hamilton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),6,14,10.9,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
41146,Lancaster town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),351,498,17.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
41234,Lansing town,MCD/CD,Tompkins,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),47,68,17.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
41300,Lapeer town,MCD/CD,Cortland,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3,8,9.4,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
41531,Laurens town,MCD/CD,Otsego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,28,20.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
41564,Lawrence town,MCD/CD,St. Lawrence,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),21,17,30.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
41674,Lebanon town,MCD/CD,Madison,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),12,16,19,,Percentage,2019-2022,"Vital Records, data as of November 2024"
41740,Ledyard town,MCD/CD,Cayuga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),9,12,19.1,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
41762,Lee town,MCD/CD,Oneida,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),53,73,18.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
41883,Leicester town,MCD/CD,Livingston,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),21,22,23.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
41905,Lenox town,MCD/CD,Madison,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),82,91,22.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
41982,Leon town,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,13,29.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42015,Le Ray town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),98,56,44.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42037,Le Roy town,MCD/CD,Genesee,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),71,112,15.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42114,Lewis town,MCD/CD,Essex,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),11,13,20.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42125,Lewis town,MCD/CD,Lewis,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),7,6,29.2,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
42136,Lewisboro town,MCD/CD,Westchester,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),42,67,15.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42158,Lewiston town,MCD/CD,Niagara,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),102,221,11.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42202,Lexington town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),14,14,25,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42213,Leyden town,MCD/CD,Lewis,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,15,30.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42235,Liberty town,MCD/CD,Sullivan,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),178,155,28.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42334,Lima town,MCD/CD,Livingston,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),29,38,19.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
42411,Lincklaen town,MCD/CD,Chenango,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3,4,21.4,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
